100480057,222516,207353,42110122,FastEthernet4
100498784,222602,207440,42124526,FastEthernet4
100516170,222674,207513,42137219,FastEthernet4
100534617,222753,207593,42150903,FastEthernet4
100554530,222851,207692,42166756,FastEthernet4
100573017,222929,207771,42180850,FastEthernet4
100591124,223007,207850,42194944,FastEthernet4
100613244,223111,207955,42212642,FastEthernet4
100663717,223386,208230,42258306,FastEthernet4
100684174,223476,208321,42274332,FastEthernet4
100699580,223536,208382,42285506,FastEthernet4
100710884,223574,208416,42292245,FastEthernet4
100891660,224341,209192,42427249,FastEthernet4
